Origin,Dest,visitn,delegatesn,delegation country,date1,2008,visit
Aac,She,1,6,North Rhine-Westphalia,20122011,20121012,1
Aac,Hul,1,6,North Rhine-Westphalia,20122011,20121012,1
Bon,She,1,6,North Rhine-Westphalia,20122011,20121012,1
Bon,Hul,1,6,North Rhine-Westphalia,20122011,20121012,1
Dus,She,1,6,North Rhine-Westphalia,20122011,20121012,1
Dus,Hul,1,6,North Rhine-Westphalia,20122011,20121012,1
Pra,She,2,12,Media Delegation,20130227,20130228,2
Par,She,2,12,Media Delegation,20130227,20130228,2
Ber,She,2,12,Media Delegation,20130227,20130228,2
Ams,She,2,12,Media Delegation,20130227,20130228,2
War,She,2,12,Media Delegation,20130227,20130228,2
Bru,She,2,12,Media Delegation,20130227,20130228,2
Gäv,She,3,16,Sweden,20130325,20130326,3
Gäv,Hul,3,16,Sweden,20130325,20130326,3
Gäv,Brd,3,16,Sweden,20130325,20130326,3
Bol,She,3,16,Sweden,20130325,20130326,3
Bol,Hul,3,16,Sweden,20130325,20130326,3
Bol,Brd,3,16,Sweden,20130325,20130326,3
Ova,She,3,16,Sweden,20130325,20130326,3
Ova,Hul,3,16,Sweden,20130325,20130326,3
Ova,Brd,3,16,Sweden,20130325,20130326,3
Ock,She,3,16,Sweden,20130325,20130326,3
Ock,Hul,3,16,Sweden,20130325,20130326,3
Ock,Brd,3,16,Sweden,20130325,20130326,3
Hud,She,3,16,Sweden,20130325,20130326,3
Hud,Hul,3,16,Sweden,20130325,20130326,3
Hud,Brd,3,16,Sweden,20130325,20130326,3
Lju,She,3,16,Sweden,20130325,20130326,3
Lju,Hul,3,16,Sweden,20130325,20130326,3
Lju,Brd,3,16,Sweden,20130325,20130326,3
San,She,3,16,Sweden,20130325,20130326,3
San,Hul,3,16,Sweden,20130325,20130326,3
San,Brd,3,16,Sweden,20130325,20130326,3
Vas,She,3,16,Sweden,20130325,20130326,3
Vas,Hul,3,16,Sweden,20130325,20130326,3
Vas,Brd,3,16,Sweden,20130325,20130326,3
Lyc,She,3,16,Sweden,20130325,20130326,3
Lyc,Hul,3,16,Sweden,20130325,20130326,3
Lyc,Brd,3,16,Sweden,20130325,20130326,3
Nor,She,3,16,Sweden,20130325,20130326,3
Nor,Hul,3,16,Sweden,20130325,20130326,3
Nor,Brd,3,16,Sweden,20130325,20130326,3
Ske,She,3,16,Sweden,20130325,20130326,3
Ske,Hul,3,16,Sweden,20130325,20130326,3
Ske,Brd,3,16,Sweden,20130325,20130326,3
Str,She,3,16,Sweden,20130325,20130326,3
Str,Hul,3,16,Sweden,20130325,20130326,3
Str,Brd,3,16,Sweden,20130325,20130326,3
Ost,She,3,16,Sweden,20130325,20130326,3
Ost,Hul,3,16,Sweden,20130325,20130326,3
Ost,Brd,3,16,Sweden,20130325,20130326,3
Mun,She,4,6,Germany,20130411,20130412,4
Mun,Man,4,6,Germany,20130411,20130412,4
Tam,She,5,9,Finland,20130513,20130514,5
Tam,Hul,5,9,Finland,20130513,20130514,5
Oul,She,5,9,Finland,20130513,20130514,5
Oul,Hul,5,9,Finland,20130513,20130514,5
Hel,She,5,9,Finland,20130513,20130514,5
Hel,Hul,5,9,Finland,20130513,20130514,5
Pra,She,6,9,Czech Republic,20130613,20130614,6
Pra,Brd,6,9,Czech Republic,20130613,20130614,6
Kut,She,6,9,Czech Republic,20130613,20130614,6
Kut,Brd,6,9,Czech Republic,20130613,20130614,6
Bra,She,6,9,Czech Republic,20130613,20130614,6
Bra,Brd,6,9,Czech Republic,20130613,20130614,6
Pod,She,6,9,Czech Republic,20130613,20130614,6
Pod,Brd,6,9,Czech Republic,20130613,20130614,6
Bze,She,6,9,Czech Republic,20130613,20130614,6
Bze,Brd,6,9,Czech Republic,20130613,20130614,6
Vie,She,7,10,Austria & Poland,20130704,20130705,7
Vie,Brd,7,10,Austria & Poland,20130704,20130705,7
Lub,She,7,10,Austria & Poland,20130704,20130705,7
Lub,Brd,7,10,Austria & Poland,20130704,20130705,7
Zav,She,8,10,Netherlands & Belgium,20130912,20130913,8
Zav,Man,8,10,Netherlands & Belgium,20130912,20130913,8
Wet,She,8,10,Netherlands & Belgium,20130912,20130913,8
Wet,Man,8,10,Netherlands & Belgium,20130912,20130913,8
Bru,She,8,10,Netherlands & Belgium,20130912,20130913,8
Bru,Man,8,10,Netherlands & Belgium,20130912,20130913,8
Sit,She,8,10,Netherlands & Belgium,20130912,20130913,8
Sit,Man,8,10,Netherlands & Belgium,20130912,20130913,8
Lim,She,8,10,Netherlands & Belgium,20130912,20130913,8
Lim,Man,8,10,Netherlands & Belgium,20130912,20130913,8
Zaa,She,8,10,Netherlands & Belgium,20130912,20130913,8
Zaa,Man,8,10,Netherlands & Belgium,20130912,20130913,8
Utr,She,8,10,Netherlands & Belgium,20130912,20130913,8
Utr,Man,8,10,Netherlands & Belgium,20130912,20130913,8
Ams,She,8,10,Netherlands & Belgium,20130912,20130913,8
Ams,Man,8,10,Netherlands & Belgium,20130912,20130913,8
Par,She,9,7,France,20130919,20130920,9
Par,Man,9,7,France,20130919,20130920,9
Lyo,She,9,7,France,20130919,20130920,9
Lyo,Man,9,7,France,20130919,20130920,9
Pau,She,9,7,France,20130919,20130920,9
Pau,Man,9,7,France,20130919,20130920,9
Nan,She,9,7,France,20130919,20130920,9
Nan,Man,9,7,France,20130919,20130920,9
